"id","name","description","allergens","calories","price","active","created_at","updated_at","url","section_id"
1,"Chicken Quesadilla ","Enjoy a mexican classic with our renowned special Chicken Quesadilla.","Corn, Milk",293,4.59,TRUE,"2020-01-31 09:33:49.381505","2020-02-13 20:41:14.924426","https://storage.needpix.com/rsynced_images/mexican-food-1885616_1280.jpg",1
2,"Tortilla Chips & Dips","Tortilla chips with a selection of dips such as Salsa, Chilli, Guacamole. Vegetarian Friendly.","Corn",465,3.99,TRUE,"2020-01-31 09:33:49.381505","2020-01-31 09:33:49.381505","https://storage.needpix.com/rsynced_images/nachos-1615740_1280.jpg",1
3,"Garlic Tortilla","A great choice for those looking for something easy to eat. Vegetarian and Vegan Friendly.","Corn",210,3.99,TRUE,"2020-01-31 09:33:49.381505","2020-01-31 09:33:49.381505","https://storage.needpix.com/rsynced_images/tortilla-1353091_1280.jpg",1
4,"BBQ Chicken Fajitas","Steaming hot BBQ Chicken Fajitas for you to enjoy. Served with Rice and dips.","Corn, Gluten, Milk and Say",829,11.49,TRUE,"2020-01-31 09:33:49.381505","2020-01-31 09:33:49.381505","https://live.staticflickr.com/3764/8785194803_fbc83ab3c7_b.jpg",2
5,"Steak Tacos","Steak strips served in classic Taco shells with rice and sauce.","Corn, Gluten, Soy and Milk",755,12.49,TRUE,"2020-01-31 09:33:49.381505","2020-01-31 09:33:49.381505","https://storage.needpix.com/rsynced_images/tacos-2128212_1280.jpg",2
6,"Halloumi Burger","A classic from outside the borders of Mexico. Vegetarian Friendly.","Milk",680,10.99,TRUE,"2020-01-31 09:33:49.381505","2020-01-31 09:33:49.381505","https://storage.needpix.com/rsynced_images/burger-2011303_1280.jpg",2
7,"Fries","Enjoy a classic with your mexican food.","None",312,1.99,TRUE,"2020-01-31 09:33:49.381505","2020-01-31 09:33:49.381505","https://storage.needpix.com/rsynced_images/bowl-1842294_1280.jpg",3
8,"Sweet Potato Fries","A side dish to sweeten up your meal.","None",130,2.99,TRUE,"2020-01-31 09:33:49.381505","2020-01-31 09:33:49.381505","https://cdn.pixabay.com/photo/2016/01/26/00/53/potatoe-1161819_1280.jpg",3
9,"Citrus Salad","Our finest salad to accompany your mains.","None",110,1.99,TRUE,"2020-01-31 09:33:49.381505","2020-01-31 09:33:49.381505","https://storage.needpix.com/rsynced_images/salad-1591280_1280.jpg",3
10,"Four Churros With Chocolate Sauce","Our classic churros come with a delicious hot sauce for Vegetarians and Vegans.","None",870,4.99,TRUE,"2020-01-31 09:33:49.381505","2020-01-31 09:33:49.381505","https://storage.needpix.com/rsynced_images/breakfast-1204819_1280.jpg",4
11,"Two Scoops of Ice Cream with Cream","Enjoy Vanilla, Strawberry and Cream in this simple but tasty dessert.","Milk",640,3.49,TRUE,"2020-01-31 09:33:49.381505","2020-01-31 09:33:49.381505","https://storage.needpix.com/rsynced_images/ice-3300054_1280.png",4
12,"Chocolate Brownie with Ice Cream.","Enjoy a hot brownie with vanilla ice cream. Served with a chocolate sauce.","Milk",670,4.59,TRUE,"2020-01-31 09:33:49.381505","2020-01-31 09:33:49.381505","https://storage.needpix.com/rsynced_images/brownie-on-a-plate-bokeh.jpg",4
13,"Coca Cola (330ml)","Enjoy the refreshing taste of Coca Cola.","None",140,2.29,TRUE,"2020-01-31 09:33:49.381505","2020-01-31 09:33:49.381505","https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcTgt8rSrAUWIv5qIH2T7H-6Y8QbLx-KMdxzIOmil-pkALtcX-Oz",5
14,"Orange Juice (230ml)","Freshly Squeezed Orange Juice every morning.","None",112,1.49,TRUE,"2020-01-31 09:33:49.381505","2020-01-31 09:33:49.381505","https://live.staticflickr.com/1933/31617293018_5ab616b7c2_b.jpg",5
15,"Glass of Water (330ml)","Fresh from the filtered tap.","None",0,0,TRUE,"2020-01-31 09:33:49.381505","2020-01-31 09:33:49.381505","https://storage.needpix.com/rsynced_images/water-3708187_1280.jpg",5
